Identified Proteins ,Accession Number,Alternate ID,Molecular Weight,114A,115A,116A,133A,137A,162A,192A,249A,278A,114B,115B,116B,133B,137B,162B,192B,249B,278B,081A,087A,088A,098A,100A,107A,108A,110A,125A,193A,203A,204A,254A,265A,269A,081B,087B,088B,098B,100B,107B,108B,110B,125B,193B,203B,204B,254B,265B,269B
Cluster of LOW QUALITY PROTEIN: vimentin  ,XP_048693979.1 ,VIM,53,7.7705,4.8165,6.6833,3.021,3.2729,6.8151,4.015,2.7626,2.856,0.96978,3.0995,7.2204,3.8023,4.2917,1.972,5.3465,0,1.8034,9.4532,3.9986,3.6029,3.0994,3.6546,2.1223,2.6775,3.0367,4.7654,3.0672,3.6824,4.52,4.0536,3.6213,0.98437,3.7921,4.5719,2.692,4.8968,3.5702,1.7193,1.9012,2.8594,3.7197,4.7663,5.7155,3.6998,4.064,3.8399,0
transforming growth factor-beta-induced protein ig-h3  ,XP_048717887.1,TGFBI,81,3.558,3.0511,4.3197,6.042,6.5459,5.0588,5.0187,5.0489,2.856,1.9396,3.0995,1.9327,2.0356,4.2917,1.972,1.8642,1.0811,1.0389,6.4927,5.3516,4.8221,4.1325,3.913,4.2445,3.57,3.0367,2.0125,4.0896,2.9571,4.7721,3.2552,5.816,2.9531,3.0452,3.8615,1.9679,1.034,2.8669,1.981,3.8024,3.1354,1.9914,2.0129,0.99645,1.9807,4.3513,1.0278,1.0365
reticulocalbin-3  ,XP_048689136.1,RCN3,38,3.558,6.1022,3.4558,7.049,2.182,4.0471,2.0075,0,3.808,1.9396,2.0664,4.8318,0,2.1458,0,0.93212,0,1.0389,1.0821,2.1406,0,1.0331,0,2.1223,0.89251,2.0245,5.0312,4.0896,1.9714,5.7265,1.0851,0,5.9062,2.0301,2.8961,2.9519,3.102,5.7339,2.9714,0,4.1806,1.9914,1.0064,1.9929,0.99034,1.0878,2.0557,2.0729
apolipoprotein M isoform X1  ,XP_048674021.1,APOM,21,1.779,3.0511,0.86394,2.014,1.091,5.0588,2.0075,2.0196,2.856,2.9094,1.0332,2.8991,2.0356,3.2188,6.9019,1.8642,2.1622,2.0779,1.0821,3.211,1.9288,2.0662,2.9347,2.1223,1.785,1.0122,3.0187,3.0672,0.9857,3.8177,3.2552,1.9387,6.8906,2.0301,2.8961,3.9359,3.102,2.8669,0.99048,4.7529,3.1354,2.987,3.0193,3.9858,4.9517,3.2635,2.0557,1.0365
Cluster of moesin isoform X1  ,XP_048719279.1 ,MSN,68,7.116,7.1192,6.9115,5.035,2.182,8.0941,2.0075,3.0293,2.856,0.96978,1.0332,2.8991,1.0178,0,0.98599,0.93212,0,1.0389,5.4106,7.4923,4.8221,1.0331,2.9347,2.1223,14.28,5.0612,7.0437,4.0896,2.9571,5.7265,2.1701,2.908,1.9687,0,1.9308,0.98397,0,0.95565,0,2.8518,1.0451,0,1.0064,0,0.99034,0,0,0
Cluster of phosphatidylcholine-sterol acyltransferase isoform X1  ,XP_048672840.1 ,LCAT,53,3.558,2.0341,0.86394,4.028,2.182,3.0353,2.0075,0,1.904,2.9094,1.0332,4.8318,3.0533,2.1458,2.958,1.8642,1.0811,2.0779,4.3284,3.211,0.96441,1.0331,1.9565,1.0611,2.6775,3.0367,2.0125,2.0448,3.9428,3.8177,2.1701,1.9387,4.9218,2.0301,0.96538,2.9519,3.102,1.9113,3.9619,1.9012,4.1806,0.99568,4.0257,2.9894,3.9614,1.0878,3.0835,2.0729
phosphoglycerate mutase 2  ,XP_048685261.1,PGAM2,29,8.2125,0.54798,11.831,6.1983,3.8607,0.54514,7.6449,3.5734,1.9779,0.52252,0.55668,2.9741,1.5662,0.57809,0.53125,2.3665,0.58249,0.55978,0.58304,3.294,2.0037,1.1133,0.52708,0.57174,3.6393,1.5576,1.0843,1.5733,0.53109,1.0285,0.58463,5.8912,0.53038,0.54692,0.52015,0.53016,0.55711,0.5149,0.53367,3.4377,1.1262,0.53648,0.54227,0.53689,0.5336,0.58612,0.55381,0.55845
immunoglobulin alpha-2 heavy chain-like  ,XP_048690847.1,LOC125629509,27,4.4475,4.0681,3.4558,2.014,4.3639,1.0118,4.015,3.0293,2.856,3.8791,2.0664,0.96636,2.0356,5.3646,0.98599,0.93212,3.2432,2.0779,3.2463,3.211,4.8221,6.1987,3.913,3.1834,2.6775,4.049,4.025,4.0896,3.9428,3.8177,2.1701,2.908,1.9687,2.0301,0.96538,2.9519,2.068,1.9113,0.99048,1.9012,2.0903,1.9914,3.0193,2.9894,1.9807,2.1757,2.0557,1.0365
apolipoprotein A-IV-like  ,XP_048684426.1,APOA4,25,3.558,3.0511,2.5918,7.049,2.182,2.0235,4.015,1.0098,1.904,1.9396,2.0664,2.8991,2.0356,3.2188,1.972,2.7964,1.0811,2.0779,1.0821,2.1406,1.9288,3.0994,3.913,2.1223,2.6775,2.0245,4.025,3.0672,5.9142,3.8177,5.4253,4.8467,4.9218,3.0452,2.8961,2.9519,5.1699,3.8226,1.981,1.9012,4.1806,1.9914,2.0129,1.9929,5.9421,3.2635,2.0557,2.0729
transthyretin  ,XP_048696484.1,TTR,16,1.2409,1.4188,1.2052,1.007,0,1.0118,5.4152,3.4282,3.2321,2.3226,1.4413,3.2808,1.4198,2.1458,0.98599,0.93212,2.5892,2.8987,1.5096,1.4931,2.3098,1.4412,1.3647,2.1223,0.89251,2.0245,4.4225,4.4935,3.3464,1.9088,5.8539,3.2909,0.98437,2.4311,1.3467,2.3566,1.034,1.3331,4.3531,0.95059,2.5031,2.3847,1.0064,1.3901,0,4.3513,5.5452,3.5188
protein S100-A12-like  ,XP_048684683.1,S100A9,13,2.6685,5.0851,4.3197,3.021,1.091,3.0353,3.0112,5.0489,9.52,0.96978,1.0332,2.8991,1.0178,0,0.98599,1.8642,3.2432,0,4.3284,5.3516,4.8221,1.0331,0,3.1834,10.71,5.0612,2.0125,2.0448,1.9714,2.8633,0,0.96933,0.98437,0,0,0,0,0,0,6.6541,0,0,0,2.9894,0.99034,0,1.0278,0
coagulation factor IX  ,XP_048720006.1,F9,50,3.558,2.0341,1.7279,2.014,2.182,4.0471,3.0112,2.0196,2.856,4.8489,4.1327,2.8991,3.0533,2.1458,3.944,3.7285,4.3243,3.1168,3.2463,4.2813,3.8576,4.1325,2.9347,4.2445,3.57,3.0367,4.025,3.0672,4.9285,1.9088,3.2552,0.96933,2.9531,4.0603,1.9308,3.9359,2.068,1.9113,2.9714,1.9012,1.0451,3.9827,3.0193,3.9858,2.971,3.2635,1.0278,1.0365
vitamin K-dependent protein C-like  ,XP_048721054.1,PROC,49,3.558,3.0511,0,3.021,0,5.0588,3.0112,1.0098,3.808,3.8791,5.1659,1.9327,1.0178,2.1458,3.944,4.6606,5.4054,2.0779,4.3284,4.2813,2.8932,3.0994,3.913,3.1834,1.785,3.0367,3.0187,4.0896,2.9571,1.9088,3.2552,0.96933,2.9531,3.0452,0.96538,1.9679,2.068,2.8669,2.9714,3.8024,2.0903,1.9914,2.0129,3.9858,2.971,3.2635,1.0278,1.0365
argininosuccinate lyase  ,XP_048680030.1,ASL,52,0,2.0341,0.86394,1.007,5.4549,0,0,2.0196,0,0,0,0,0,0,3.944,0,0,0,1.0821,0,1.9288,2.0662,0.97824,2.1223,46.41,1.0122,0,1.0224,0,5.7265,0,0,0,0,0,0.98397,1.034,0,0,33.271,0,1.9914,0,0,4.9517,0,0,0
profilin-1  ,XP_048690010.1,PFN1,15,3.558,3.0511,5.1837,3.021,2.182,5.0588,4.015,3.0293,1.904,1.9396,2.0664,4.8318,4.0711,0,3.944,3.7285,0,0,4.3284,2.1406,0.96441,3.0994,2.9347,3.1834,2.6775,3.0367,4.025,4.0896,0.9857,4.7721,4.3402,1.9387,0.98437,3.0452,2.8961,1.9679,3.102,1.9113,2.9714,0.95059,3.1354,2.987,5.0322,2.9894,4.9517,2.1757,4.1114,0
Cluster of LOW QUALITY PROTEIN: alpha-actinin-3  ,XP_048714878.1 ,ACTN3,104,15.121,3.0511,36.286,3.021,1.091,3.0353,2.0075,1.0098,0.952,0,1.0332,3.8655,2.0356,0,0.98599,1.8642,1.0811,0,5.4106,3.211,1.9288,0,0,0,0.89251,0,2.0125,2.0448,0.9857,2.8633,3.2552,1.9387,0,1.0151,2.8961,1.9679,2.068,0,0,0,1.0451,1.9914,2.0129,3.9858,1.9807,1.0878,2.0557,0
carboxypeptidase N subunit 2 isoform X1  ,XP_048720489.1 ,CPN2,63,2.6685,0,1.7279,5.035,5.4549,0,0,4.0391,1.904,3.8791,1.0332,0.96636,4.0711,5.3646,0,0,6.4865,3.1168,4.3284,2.1406,5.7865,4.1325,2.9347,2.1223,0.89251,1.0122,5.0312,6.1344,0,3.8177,5.4253,4.8467,0.98437,3.0452,0.96538,2.9519,2.068,2.8669,2.9714,4.7529,0,1.9914,3.0193,1.9929,2.971,4.3513,2.0557,5.1824
xaa-Pro aminopeptidase 2  ,XP_048721248.1,XPNPEP2,77,0,2.0341,1.7279,2.014,0,2.0235,2.0075,3.0293,0.952,0.96978,1.0332,4.8318,4.0711,0,3.944,3.7285,3.2432,4.1557,2.1642,1.0703,3.8576,1.0331,1.9565,4.2445,0,0,1.0062,2.0448,0,2.8633,0,0,1.9687,8.1205,0,4.9198,2.068,2.8669,4.9524,0.95059,0,3.9827,4.0257,3.9858,2.971,4.3513,7.1949,6.2188
hemoglobin subunit beta-like  ,XP_048723330.1 ,HBE1,16,2.6685,7.1192,2.5918,2.014,2.182,6.0706,3.0112,0,0,0,1.0332,0,0,0,0,1.8642,0,0,4.3284,4.2813,0,5.1656,1.9565,3.1834,3.57,5.0612,7.0437,5.112,1.9714,1.9088,2.1701,1.9387,1.9687,0,1.9308,0,0,0,0.99048,0,2.0903,0,9.0579,0.99645,0,0,0,0
LOW QUALITY PROTEIN: basement membrane-specific heparan sulfate proteoglycan core protein  ,XP_048680933.1,HSPG2,456,2.6685,4.0681,4.3197,2.014,2.182,1.0118,0,6.0587,1.904,3.8791,3.0995,3.8655,2.0356,3.2188,0.98599,0,2.1622,2.0779,4.3284,3.211,5.7865,3.0994,1.9565,4.2445,3.57,1.0122,4.025,1.0224,4.9285,1.9088,3.2552,3.8773,3.9375,5.0753,4.8269,2.9519,2.068,3.8226,2.9714,0.95059,4.1806,2.987,5.0322,2.9894,0.99034,1.0878,3.0835,2.0729
carbonic anhydrase 2-like isoform X2  ,XP_048697072.1,CA2,29,3.558,4.0681,6.9115,3.021,4.3639,4.0471,3.0112,3.0293,1.904,0.96978,1.0332,1.9327,1.0178,0,0,4.6606,1.0811,2.0779,7.5748,1.0703,0.96441,2.0662,3.913,3.1834,3.57,3.0367,4.025,3.0672,0.9857,2.8633,2.1701,1.9387,0.98437,1.0151,3.8615,0.98397,0,1.9113,1.981,0.95059,1.0451,0.99568,1.0064,0.99645,0.99034,2.1757,1.0278,1.0365
cystatin-C  ,XP_048698450.1,CST3,15,1.779,3.0511,2.5918,2.014,3.2729,3.0353,4.015,1.0098,1.904,2.9094,3.0995,2.8991,2.0356,2.1458,1.972,2.7964,3.2432,2.0779,3.2463,2.1406,1.9288,2.0662,0.97824,2.1223,1.785,3.0367,2.0125,2.0448,2.9571,0.95442,2.1701,1.9387,0.98437,2.0301,1.9308,2.9519,2.068,0.95565,0.99048,1.9012,1.0451,1.9914,2.0129,1.9929,2.971,3.2635,3.0835,2.0729
phospholipid transfer protein isoform X1  ,XP_048676450.1 ,PLTP,56,2.6685,4.0681,1.7279,2.014,1.091,1.0118,4.015,1.0098,2.856,2.9094,5.1659,3.8655,3.0533,4.2917,2.958,1.8642,2.1622,4.1557,1.0821,3.211,0.96441,2.0662,0.97824,2.1223,2.6775,1.0122,2.0125,1.0224,0.9857,1.9088,2.1701,2.908,6.8906,6.0904,3.8615,4.9198,3.102,2.8669,1.981,1.9012,5.2257,4.9784,2.0129,0.99645,1.9807,7.6148,3.0835,4.1459
14-3-3 protein epsilon  ,XP_048680225.1,YWHAE,29,7.2925,5.0851,9.1539,5.2349,4.5804,6.0706,5.0187,5.0489,3.808,0,0,0.96636,0,0.21296,0,1.1171,0,0,2.1642,3.211,2.8932,2.0662,0.97824,1.0611,9.1022,2.2254,4.2247,2.2477,0.9857,2.8633,3.2552,5.816,0.98437,0.20147,1.9308,0,0,0,0,0,0.20744,0,2.2126,0,0,0.21592,0.20401,0.20572
phosphoglycerate kinase 1  ,XP_048720204.1,PGK1,45,14.232,3.0511,19.007,9.063,3.2729,3.0353,16.06,11.108,3.808,0,0,0,1.0178,0,0,0,0,0,0,0,3.8576,2.0662,0,0,4.4625,1.0122,1.0062,1.0224,0,4.7721,0,4.8467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pancreatic alpha-amylase  ,XP_048716247.1,AMY2A,57,1.1868,3.391,2.0166,0.16829,2.5466,0.33817,1.1715,2.3571,2.2222,0,2.4117,1.2894,1.358,1.4315,1.1508,1.2437,0,1.3862,1.263,1.4281,1.2868,1.3784,0.32697,0,2.0833,1.3506,1.3426,0,1.3152,1.2734,0,0,2.2978,2.3694,2.2534,1.3128,2.2408,2.2307,2.312,0,3.3101,1.3285,2.3493,1.3295,2.3117,3.6271,1.3714,3.4559
Cluster of serum amyloid A-5 protein-like  ,XP_048711874.1 ,SAA1,14,3.558,2.0341,5.1837,4.028,3.2729,4.0471,2.0075,4.0391,0.952,3.8791,0,0,1.0178,3.2188,1.972,1.8642,7.5675,3.1168,1.0821,4.2813,4.8221,3.0994,0.97824,0,10.71,2.0245,1.0062,0,0.9857,0.95442,1.0851,4.8467,0,1.0151,0.96538,0.98397,1.034,0,0,4.7529,0,0.99568,1.0064,0.99645,0.99034,4.3513,1.0278,2.0729
selenoprotein Pb-like  ,XP_048717976.1 ,SELENOP,29,0.8895,1.017,0.86394,1.007,0,2.0235,1.0037,1.0098,0.952,1.9396,2.0664,0,0,0,1.972,1.8642,2.1622,1.0389,1.0821,1.0703,0.96441,0,0.97824,1.0611,0,1.0122,1.0062,1.0224,2.9571,0,1.0851,0.96933,1.9687,0,0.96538,0.98397,1.034,0.95565,0.99048,1.9012,1.0451,0.99568,1.0064,1.9929,0.99034,1.0878,1.0278,1.0365
Cluster of ficolin-2-like  ,XP_048679111.1 ,FCN1,38,2.6685,3.0511,2.5918,4.028,1.091,4.0471,4.015,5.0489,0.952,1.9396,2.0664,2.8991,5.0889,2.1458,1.972,0.93212,4.3243,1.0389,5.4106,3.211,2.8932,3.0994,2.9347,2.1223,0.89251,3.0367,1.0062,2.0448,1.9714,2.8633,4.3402,0.96933,2.9531,2.0301,0,1.9679,1.034,0.95565,0.99048,1.9012,3.1354,0.99568,0,1.9929,3.9614,2.1757,0,2.0729
target of Nesh-SH3  ,XP_048672832.1,ABI3BP,176,4.4475,4.0681,4.3197,4.028,1.091,3.0353,4.015,4.0391,1.904,0.96978,2.0664,0.96636,1.0178,0,0.98599,0.93212,3.2432,0,3.2463,5.3516,1.9288,1.0331,2.9347,4.2445,0.89251,3.0367,3.0187,2.0448,2.9571,4.7721,2.1701,2.908,2.9531,2.0301,1.9308,0.98397,1.034,0.95565,0.99048,2.8518,1.0451,0,1.0064,0,0.99034,1.0878,1.0278,0
follistatin-related protein 1  ,XP_048674966.1,FSTL1,36,2.6685,4.0681,4.3197,3.021,1.091,4.0471,2.0075,0,1.904,0,1.0332,2.8991,2.0356,1.0729,1.972,0,0,0,1.0821,3.211,0.96441,0,1.9565,1.0611,5.355,2.0245,3.0187,1.0224,1.9714,1.9088,0,1.9387,1.9687,3.0452,1.9308,1.9679,2.068,1.9113,2.9714,0,2.0903,4.9784,2.0129,0.99645,1.9807,2.1757,2.0557,2.0729
adenosylhomocysteinase  ,XP_048676067.1,AHCY,47,9.7845,5.0851,14.687,8.056,3.2729,2.0235,9.0337,6.0587,0,0,0,0,1.0178,0,0,0,0,0,0,5.3516,0.96441,0,0,0,11.603,2.0245,3.0187,1.0224,0,1.9088,0,3.8773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster of tubulin alpha-1D chain-like isoform X1  ,XP_048724680.1 ,TUBA1A,59,3.558,1.017,5.1837,2.014,2.182,5.0588,3.0112,2.0196,0.952,0.96978,1.0332,2.8991,1.0178,0,2.958,4.6606,0,0,9.739,2.1406,0.96441,0,0.97824,1.0611,0,2.0245,1.0062,2.0448,1.9714,3.8177,3.2552,0.96933,0,0,3.8615,0.98397,1.034,1.9113,1.981,1.9012,2.0903,1.9914,1.0064,2.9894,3.9614,1.0878,1.0278,0
14-3-3 protein theta  ,XP_048701429.1 ,YWHAQ,28,4.5897,5.0851,9.9179,3.1821,4.5384,6.0706,3.0112,3.0293,0.952,0,0,2.8991,2.0356,0,0,2.0133,0,1.0389,3.2463,4.2813,2.8932,0,2.9347,1.0611,3.7128,1.1741,4.1859,2.2083,1.9714,3.8177,2.1701,1.9387,0.98437,0,0.96538,0,1.1993,0,0,0,1.2123,0,2.1738,0,0.99034,0,1.1922,0
ficolin-1-like  ,XP_048679238.1,FCN1,35,0.22873,1.2786,1.3083,1.5249,0.56109,1.5321,1.52,0.51933,1.4416,0.24938,1.2989,0.2485,1.2795,0.5518,0.50709,0.23969,1.6371,0.53432,0.27826,0.27523,0.248,1.5645,0.50311,1.6069,0.22951,1.5328,1.5238,0.26291,0.25347,1.4453,1.3641,1.2186,1.2375,0.26102,1.2136,1.237,0.26589,1.4471,0.5094,1.4395,0.26876,1.2517,0.51761,1.5089,0.25467,0.27973,1.2922,0.26653
vitelline membrane outer layer protein 1-like  ,XP_048673126.1,VMO1,20,0.8895,2.0341,2.5918,2.014,1.091,2.0235,3.0112,2.0196,0.952,1.9396,1.0332,0.96636,1.0178,2.1458,3.944,1.8642,1.0811,1.0389,3.2463,1.0703,0.96441,1.0331,1.9565,1.0611,1.785,1.0122,1.0062,2.0448,3.9428,1.9088,2.1701,0.96933,1.9687,2.0301,1.9308,2.9519,1.034,0.95565,0.99048,3.8024,1.0451,0.99568,2.0129,0.99645,0.99034,1.0878,1.0278,1.0365
polymeric immunoglobulin receptor  ,XP_048682952.1,PIGR,68,0.8895,5.0851,1.7279,2.014,2.182,1.0118,2.0075,3.0293,2.856,0.96978,2.0664,1.9327,1.0178,2.1458,0.98599,3.7285,1.0811,3.1168,4.3284,4.2813,0.96441,1.0331,0.97824,3.1834,0.89251,2.0245,5.0312,2.0448,0.9857,0.95442,1.0851,2.908,1.9687,1.0151,0.96538,0.98397,1.034,0.95565,0.99048,0.95059,2.0903,1.9914,1.0064,0.99645,0.99034,1.0878,2.0557,1.0365
peroxiredoxin-6  ,XP_048718626.1,PRDX6,25,8.895,5.0851,8.6394,4.028,4.3639,4.0471,3.0112,4.0391,3.808,0,0,1.9327,0,0,0,1.8642,0,0,4.3284,2.1406,3.8576,2.0662,4.8912,1.0611,8.0326,3.0367,3.0187,2.0448,0.9857,3.8177,4.3402,0.96933,0.98437,0,1.9308,0,0,0.95565,0,0.95059,0,0,3.0193,0.99645,0.99034,0,0,0
methanethiol oxidase isoform X1  ,XP_048684226.1,SELENBP1,53,1.779,1.017,1.7279,1.007,4.3639,1.0118,1.0037,1.0098,1.904,1.9396,1.0332,0.96636,0,0,1.972,0.93212,0,1.0389,2.1642,1.0703,1.9288,2.0662,0.97824,1.0611,17.85,1.0122,1.0062,1.0224,0.9857,0.95442,1.0851,0.96933,0.98437,1.0151,0.96538,0.98397,1.034,0.95565,0.99048,11.407,0,0.99568,1.0064,0,0,1.0878,1.0278,1.0365
collagen alpha-1 chain  ,XP_048690694.1 ,COL2A1,142,0.070765,1.017,0.86394,1.0871,0,0.080492,1.0037,1.0098,1.0277,0.96978,0,1.0432,1.0178,0,0.98599,0.93212,2.1622,1.1216,1.0821,1.1555,0.96441,1.0331,0.97824,0,0.89251,1.0122,1.0062,1.0224,1.9714,1.0304,1.0851,0.96933,0.98437,0,2.0076,1.0622,0,1.0317,1.0693,0,0,1.0749,0.080068,0,0,0,0.081771,1.1189
"troponin C, skeletal muscle  ",XP_048675836.1,TNNC2,18,5.337,4.0681,6.9115,4.028,1.091,1.0118,6.0225,0,0.952,0,0,3.8655,3.0533,2.1458,0,0,0,0,0,4.2813,2.8932,2.0662,2.9347,0,5.355,2.0245,0,0,0,3.8177,0,5.816,0,2.0301,0,0,2.068,2.8669,0,5.7035,1.0451,0,0,0,0,0,0,0
cholesteryl ester transfer protein  ,XP_048672890.1,CETP,55,1.779,2.0341,0.86394,2.014,1.091,2.0235,2.0075,1.0098,1.904,2.9094,3.0995,1.9327,1.0178,1.0729,0.98599,0,1.0811,1.0389,2.1642,2.1406,2.8932,3.0994,2.9347,2.1223,2.6775,1.0122,2.0125,1.0224,0.9857,2.8633,1.0851,1.9387,1.9687,2.0301,1.9308,0.98397,2.068,0.95565,0.99048,3.8024,2.0903,2.987,2.0129,0.99645,1.9807,2.1757,2.0557,0
Cluster of creatine kinase B-type isoform X1  ,XP_048711350.1 ,CKB,43,2.6701,3.0843,5.215,1.0124,4.3658,3.0353,3.0148,1.0116,0.952,0,0,0,1.0178,0,0,0,0,0,1.0821,4.3163,1.9288,1.035,1.9565,1.0611,2.7067,1.014,2.0454,1.0224,2.9571,2.8633,0,1.9421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xaa-Pro dipeptidase isoform X1  ,XP_048726734.1,PEPD,56,3.558,2.0341,1.7279,1.007,1.091,2.0235,4.015,4.0391,3.808,2.9094,2.0664,1.9327,0,1.0729,1.972,1.8642,1.0811,3.1168,2.1642,2.1406,0.96441,2.0662,1.9565,1.0611,5.355,1.0122,3.0187,2.0448,0.9857,1.9088,4.3402,3.8773,2.9531,1.0151,1.9308,0,0,0.95565,0,2.8518,3.1354,1.9914,1.0064,0.99645,2.971,1.0878,1.0278,0
glucose-6-phosphate isomerase  ,XP_048672358.1,GPI,62,8.0055,1.017,22.463,8.056,2.182,0,11.041,7.0685,1.904,0,0,0,1.0178,0,0,0,0,0,3.2463,0,0.96441,0,0,0,0,1.0122,0,0,0,1.9088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nidogen-1  ,XP_048699760.1,NID1,139,3.558,3.0511,0.86394,3.021,3.2729,4.0471,2.0075,3.0293,0.952,0.96978,1.0332,0.96636,1.0178,2.1458,0.98599,0.93212,1.0811,1.0389,2.1642,2.1406,1.9288,3.0994,2.9347,3.1834,3.57,2.0245,3.0187,2.0448,3.9428,2.8633,2.1701,3.8773,0.98437,2.0301,1.9308,0,1.034,1.9113,1.981,0.95059,2.0903,1.9914,2.0129,0,0.99034,2.1757,2.0557,1.0365
Cluster of collagen alpha-1 chain isoform X1  ,XP_048678857.1 ,COL5A1,185,0.8895,1.017,0.86394,1.007,1.091,1.0118,0,0,0.952,0,0,0.96636,1.0178,1.0729,0,0,0,1.0389,0,0,0,0,0,0,0,1.0122,0,0,0.9857,0.95442,1.0851,0,0.98437,0,1.9308,0,0,1.9113,0.99048,0,0,0,1.0064,0,0.99034,0,0,0
Cluster of EGF-containing fibulin-like extracellular matrix protein 1 isoform X2  ,XP_048698781.1 ,EFEMP1,51,1.779,2.0341,0.86394,2.014,1.091,1.0118,2.0075,1.0098,2.856,2.9094,2.0664,3.8655,1.0178,2.1458,1.972,1.8642,2.1622,1.0389,2.1642,3.211,1.9288,1.0331,2.9347,1.0611,1.785,2.0245,2.0125,3.0672,2.9571,2.8633,3.2552,2.908,0.98437,2.0301,1.9308,1.9679,0,2.8669,0.99048,1.9012,2.0903,0.99568,2.0129,0.99645,0,1.0878,3.0835,2.0729
immunoglobulin lambda-1 light chain-like  ,XP_048677954.1,LOC125623131,29,0,4.0681,0.86394,0,0,2.0235,0,2.0196,0,0,1.0332,0,1.0178,0,2.958,0,1.0811,0,1.0821,0,0,1.0331,0,1.0611,0,0,1.0062,0,0,0.95442,1.0851,0.96933,0.98437,2.0301,0,0,0,0,0,0.95059,0,0,2.0129,0,0,0,1.0278,1.0365
Cluster of histone H2B 8  ,XP_048689256.1 ,H2BC21,14,2.6685,2.0341,1.7279,1.007,3.2729,8.0941,1.0037,1.0098,1.904,1.9396,2.0664,5.7982,2.0356,2.1458,1.972,2.7964,2.1622,3.1168,5.4106,1.0703,0,1.0331,1.9565,2.1223,0.89251,2.0245,1.0062,1.0224,0.9857,1.9088,5.4253,0.96933,1.9687,1.0151,1.9308,0.98397,2.068,0.95565,1.981,0.95059,1.0451,1.9914,1.0064,1.9929,0.99034,2.1757,1.0278,2.0729
Cluster of B-cadherin-like  ,XP_048726610.1 ,CDH1,97,1.779,3.0511,3.4558,1.007,0,2.0235,2.0075,0,1.904,0,1.0332,1.9327,0,0,0.98599,1.8642,1.0811,0,2.1642,0,1.9288,3.0994,0.97824,2.1223,0.89251,1.0122,3.0187,1.0224,0.9857,2.8633,0,0.96933,1.9687,1.0151,1.9308,2.9519,1.034,3.8226,2.9714,0.95059,0,0,1.0064,1.9929,0.99034,0,0,0
vinculin isoform X3  ,XP_048714435.1,VCL,125,10.674,3.0511,7.7755,2.014,2.182,2.0235,2.0075,1.0098,0,0.96978,0,2.8991,1.0178,0,0.98599,0,0,0,5.4106,3.211,0.96441,0,0,1.0611,8.0326,1.0122,2.0125,2.0448,0.9857,0,1.0851,0.96933,0,0,0,0,0,0,0,0.95059,0,0,1.0064,0.99645,0.99034,0,0,0
hepatocyte growth factor-like protein  ,XP_048713439.1,MST1,81,0,1.017,0.86394,0,0,1.0118,0,0,1.904,0.96978,1.0332,0.96636,1.0178,0,0.98599,0.93212,2.1622,1.0389,1.0821,1.0703,0,2.0662,0,0,0.89251,1.0122,0,2.0448,1.9714,0,1.0851,0,1.9687,1.0151,0.96538,1.9679,1.034,0,0.99048,0,1.0451,0.99568,2.0129,0.99645,0.99034,1.0878,1.0278,1.0365
"myosin regulatory light chain 2, skeletal muscle isoform  ",XP_048711237.1,MYL11,19,9.7845,3.0511,12.095,3.021,2.182,0,4.015,2.0196,1.904,0,0,1.9327,0,0,0,0,0,0,0,7.4923,1.9288,1.0331,0,0,7.1401,1.0122,1.0062,0,0,1.9088,0,8.724,0,0,0,0,0,0,0,1.9012,0,0,0,0,0,0,0,0
osteocalcin  ,XP_048683940.1,BGLAP,23,0,0,0,0,0,0,0,0,0,2.9094,3.0995,4.8318,4.0711,6.4375,0,3.7285,0,4.1557,0,0,0,0,0.97824,0,0,0,0,0,0,0,1.0851,0,0.98437,5.0753,3.8615,4.9198,2.068,4.7782,4.9524,0.95059,3.1354,5.9741,3.0193,2.9894,3.9614,3.2635,5.1392,3.1094
Cluster of adenylate kinase isoenzyme 1 isoform X1  ,XP_048678943.1 ,AK1,63,7.116,2.0341,10.367,6.042,2.182,1.0118,9.0337,7.0685,2.856,0,0,0,0,0,0,0,0,0,0,1.0703,2.8932,1.0331,0.97824,0,0.89251,2.0245,2.0125,2.0448,0,1.9088,0,2.908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
four and a half LIM domains protein 1 isoform X1  ,XP_048719897.1,FHL1,34,5.337,3.0511,8.6394,6.042,3.2729,2.0235,8.0299,4.0391,1.904,0,0,0,0,0,0,0,0,0,2.1642,1.0703,1.9288,1.0331,1.9565,2.1223,1.785,3.0367,3.0187,1.0224,0.9857,4.7721,0,1.9387,0.98437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
desmocollin-2-like isoform X1  ,XP_048696480.1 ,DSC2,98,1.779,2.0341,2.5918,2.014,3.2729,3.0353,3.0112,1.0098,2.856,0.96978,0,0,0,0,0,1.8642,0,2.0779,2.1642,3.211,2.8932,2.0662,0.97824,2.1223,0.89251,2.0245,3.0187,3.0672,1.9714,2.8633,2.1701,3.8773,0,0,0.96538,0,0,0,0,0,1.0451,0,0,0,0,0,1.0278,0
